    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     7:50.18       82950380 B   ---   --   ---xx   flac  0.4828  gd69-12-28d1t01.flac
     2:58.66       31554476 B   ---   --   ---xx   flac  0.5998  gd69-12-28d1t02.flac
     1:51.42       19679228 B   ---   --   ---xx   flac  0.5412  gd69-12-28d1t03.flac
     5:18.65       56248124 B   ---   --   ---xx   flac  0.6249  gd69-12-28d1t04.flac
     4:20.44       45967532 B   ---   --   ---xx   flac  0.6277  gd69-12-28d1t05.flac
     8:19.61       88167116 B   ---   --   ---xx   flac  0.5933  gd69-12-28d1t06.flac
     7:48.72       82724588 B   ---   --   ---xx   flac  0.6181  gd69-12-28d1t07.flac
     5:00.66       53075932 B   -b-   --   ---xx   flac  0.6362  gd69-12-28d1t08.flac
     5:16.63       55890620 B   ---   --   ---xx   flac  0.5466  gd69-12-28d2t01.flac
     4:16.24       45214892 B   ---   --   ---xx   flac  0.4980  gd69-12-28d2t02.flac
     7:49.25       82790444 B   ---   --   ---xx   flac  0.5527  gd69-12-28d2t03.flac
    11:30.27      121779548 B   ---   --   ---xx   flac  0.5523  gd69-12-28d2t04.flac
    18:32.09      196177832 B   -b-   --   ---xx   flac  0.5545  gd69-12-28d2t05.flac
    90:54.57      962220712 B                            0.5671  (13 files)
