    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     8:44.04       92443052 B   ---   --   ---xx   flac  0.5727  gd69-11-08.d1t01.flac
     9:04.57       96095708 B   ---   --   ---xx   flac  0.5571  gd69-11-08.d1t02.flac
    14:40.14      155264972 B   ---   --   ---xx   flac  0.5120  gd69-11-08.d1t03.mtx.flac
    12:02.56      127492556 B   ---   --   ---xx   flac  0.5727  gd69-11-08.d1t04.mtx.flac
     1:05.32       11541308 B   ---   --   ---xx   flac  0.5796  gd69-11-08.d1t05.flac
     2:33.53       27113900 B   ---   --   ---xx   flac  0.5606  gd69-11-08.d1t06.flac
     3:23.54       35936252 B   ---   --   ---xx   flac  0.4607  gd69-11-08.d1t07.flac
     7:00.49       74203292 B   ---   --   ---xx   flac  0.5264  gd69-11-08.d2t01.flac
    14:33.65      154150124 B   ---   --   ---xx   flac  0.5659  gd69-11-08.d2t02.flac
    17:42.43      187437980 B   ---   --   ---xx   flac  0.5178  gd69-11-08.d2t03.flac
     3:12.28       33934700 B   ---   --   ---xx   flac  0.5075  gd69-11-08.d2t04.flac
     8:26.27       89321948 B   ---   --   ---xx   flac  0.5437  gd69-11-08.d2t05.flac
     8:32.74       90490892 B   ---   --   ---xx   flac  0.4674  gd69-11-08.d2t06.flac
     3:30.62       37189868 B   ---   --   ---xx   flac  0.4420  gd69-11-08.d2t07.flac
     2:54.51       30813596 B   ---   --   ---xx   flac  0.3554  gd69-11-08.d2t08.flac
   117:28.69     1243430148 B                            0.5278  (15 files)
